model,lens,layer,source_id,country_id,clean_kurtosis,clean_lesion_cosine,clean_residual_norm,lesion_kurtosis,lesion_minus_clean_kurtosis,lesion_residual_norm,lesion_to_clean_norm_ratio
base,published,20,ke-region-t3,KE,2.191849708557129,0.9103155732154846,18.404722213745117,0.8188862800598145,-1.3729634284973145,15.508613586425781,0.8426432013511658
base,published,20,kp-capital-t0,KP,1.4839072227478027,0.8799290060997009,15.915059089660645,1.2483806610107422,-0.23552656173706055,13.115201950073242,0.8240749835968018
base,published,20,kp-capital-t2,KP,1.5930414199829102,0.8742104768753052,16.441736221313477,1.130655288696289,-0.4623861312866211,13.420312881469727,0.8162345290184021
base,published,20,kr-capital-t0,KR,1.5933165550231934,0.895377516746521,16.833606719970703,1.3145208358764648,-0.2787957191467285,14.024942398071289,0.8331513404846191
base,published,20,kr-capital-t1,KR,1.7352256774902344,0.8803414702415466,17.268203735351562,1.2229833602905273,-0.512242317199707,13.931821823120117,0.8067904710769653
base,published,20,kr-capital-t2,KR,1.6820526123046875,0.8782516717910767,16.837995529174805,1.0617833137512207,-0.6202692985534668,13.809041023254395,0.8201119303703308
base,published,20,kr-capital-t3,KR,1.648531436920166,0.8956665992736816,16.761030197143555,0.7642173767089844,-0.8843140602111816,14.031596183776855,0.8371559381484985
base,published,20,kr-region-t0,KR,2.0787034034729004,0.912472665309906,18.17591094970703,0.577462911605835,-1.5012404918670654,15.294349670410156,0.8414626121520996
base,published,20,kr-region-t1,KR,2.5449695587158203,0.9171386957168579,17.910634994506836,0.9981257915496826,-1.5468437671661377,15.474576950073242,0.8639881610870361
base,published,20,kr-region-t2,KR,2.515625476837158,0.8913679122924805,17.415834426879883,1.2628159523010254,-1.2528095245361328,14.753196716308594,0.8471139669418335
base,published,20,lk-capital-t0,LK,1.8400163650512695,0.8867443799972534,15.910835266113281,1.1166558265686035,-0.723360538482666,13.354740142822266,0.8393487930297852
base,published,20,lk-capital-t1,LK,1.782829761505127,0.8915891647338867,17.071504592895508,1.465865135192871,-0.31696462631225586,14.143126487731934,0.8284639716148376
base,published,20,lk-capital-t2,LK,1.667398452758789,0.8825646638870239,17.10702896118164,1.0969133377075195,-0.5704851150512695,13.83718490600586,0.808859646320343
base,published,20,lk-capital-t3,LK,1.6733145713806152,0.8921923637390137,16.7290096282959,1.0790815353393555,-0.5942330360412598,14.04985237121582,0.839849591255188
base,published,20,sd-region-t0,SD,1.9847698211669922,0.9236114025115967,18.057619094848633,0.4575645923614502,-1.527205228805542,15.289230346679688,0.846691370010376
base,published,20,sd-region-t1,SD,2.4870004653930664,0.8959859609603882,17.726097106933594,1.0464773178100586,-1.4405231475830078,15.07144832611084,0.8502406477928162
base,published,20,sd-region-t2,SD,2.250807762145996,0.8880828619003296,17.109840393066406,1.0639476776123047,-1.1868600845336914,14.56485652923584,0.8512561321258545
base,published,20,sd-region-t3,SD,2.079516887664795,0.9057636260986328,18.423480987548828,0.8485469818115234,-1.2309699058532715,15.628433227539062,0.8482888340950012
base,published,20,sl-region-t0,SL,1.9836077690124512,0.9070867896080017,18.117788314819336,0.5634341239929199,-1.4201736450195312,15.12038803100586,0.8345603942871094
base,published,20,sl-region-t2,SL,2.311194896697998,0.9067222476005554,16.829113006591797,0.9368641376495361,-1.374330759048462,14.609599113464355,0.8681146502494812
